PDBchain   len  method   resol   rfac  freerfac
5GV7A      272  XRAY       0.8  0.122  0.144
3O4PA      314  XRAY      0.85  0.103  0.121
6ZPAA      181  XRAY      0.86   0.13  0.135
5AKRA      378  XRAY      0.87   0.11  0.127
1GWEA      503  XRAY      0.88  0.089  0.096
4Y9VA      625  XRAY       0.9  0.097  0.109
9FMHA      322  XRAY       0.9  0.138  0.148
5BR4A      391  XRAY      0.91   0.13  0.147
5MK9A      379  XRAY     0.919  0.109  0.122
8UVZA      168  XRAY      0.93  0.111  0.123
9V14A      240  XRAY      0.93  0.116   0.14
3M5QA      357  XRAY      0.93  0.124  0.134
1KWFA      363  XRAY      0.94  0.094  0.113
5MEHA      447  XRAY      0.95  0.092  0.103
2XJPA      258  XRAY      0.95  0.106  0.122
3DHAA      254  XRAY      0.95  0.133  0.169
4F18A      381  XRAY      0.96  0.095   0.11
5DP2A      342  XRAY      0.96  0.117  0.131
5JUGA      168  XRAY      0.96  0.123  0.141
3KFFA      162  XRAY      0.96  0.136  0.164
8B34A      318  XRAY      0.97  0.106  0.114
5TIFA      185  XRAY      0.97  0.123  0.137
7P24AAA    518  XRAY      0.97  0.124  0.136
9QQTA      566  XRAY      0.98  0.129  0.148
3B3RA      506  XRAY      0.98  0.129  0.159
9QQTB      434  XRAY      0.98  0.129  0.148
9QQTC      249  XRAY      0.98  0.129  0.148
9F0TA      290  XRAY      0.98  0.143  0.162
5OTNA      159  XRAY      0.99  0.121  0.133
6RK0A      225  XRAY      0.99  0.124  0.138
9GTJA      193  XRAY      0.99  0.144  0.161
7ADRB      475  XRAY       1.0  0.102  0.117
7ADRA      474  XRAY       1.0  0.102  0.117
7ADRC      113  XRAY       1.0  0.102  0.117
1KCCA      335  XRAY       1.0  0.114  0.136
3VIFA      487  XRAY       1.0  0.123  0.142
2AT0X      184  XRAY       1.0   0.14  0.154
8B8FA      152  XRAY       1.0  0.141  0.152
8E77A      380  XRAY       1.0  0.148  0.174
3JYOA      283  XRAY       1.0  0.165  0.194
3BWHA      245  XRAY       1.0  0.172  0.179
5JH8A      317  XRAY     1.018  0.131  0.148
